front,back,tags
"What is **Cache hit**?","Requested data found in cache","caches-and-cache-coherence|terminology"
"What is **Cache miss**?","Data must be fetched from lower level","caches-and-cache-coherence|terminology"
"What is **Cache line / block**?","Unit of transfer between cache levels","caches-and-cache-coherence|terminology"
"What is **Set-associative**?","Each address maps to one set of N possible lines","caches-and-cache-coherence|terminology"
"What is **Tag**?","Address bits identifying which memory block occupies a line","caches-and-cache-coherence|terminology"
"What is **Dirty line**?","Modified in cache but not yet written to lower level","caches-and-cache-coherence|terminology"
"What is **MESI**?","Modified, Exclusive, Shared, Invalid — coherence state machine","caches-and-cache-coherence|terminology"
"What is **Snooping**?","Cores monitor bus/interconnect for coherence transactions","caches-and-cache-coherence|terminology"
"What is **Directory**?","Per-line record of which cores hold copies (common at scale)","caches-and-cache-coherence|terminology"
"What is **False sharing**?","Independent data in same line causes unnecessary invalidations","caches-and-cache-coherence|terminology"
"What is **Write-through**?","Writes go immediately to lower level","caches-and-cache-coherence|terminology"
"What is **Write-back**?","Writes update cache; lower level updated on eviction","caches-and-cache-coherence|terminology"
"Summarize the core idea of **Caches and Cache Coherence**.","Caches bridge the speed gap between CPUs and main memory by keeping copies of recently used data close to the cores that need them. In multi-core systems, each core may hold its own copy of the same memory location — creating a coherence problem: when one core writes, all other copies must be updated or invalidated so software observes a consistent memory model.","caches-and-cache-coherence|summary"
"What is **ISA (Instruction Set Architecture)**?","The contract between software and hardware: opcodes, registers, addressing modes","cpu-and-memory-fundamentals|terminology"
"What is **Microarchitecture**?","How a specific CPU implements the ISA: pipeline depth, cache sizes, branch predictor","cpu-and-memory-fundamentals|terminology"
"What is **Register**?","Fastest storage inside the CPU; explicitly named in instructions","cpu-and-memory-fundamentals|terminology"
"What is **ALU (Arithmetic Logic Unit)**?","Executes integer arithmetic and bitwise operations","cpu-and-memory-fundamentals|terminology"
"What is **Pipeline**?","Overlaps instruction stages (fetch, decode, execute, writeback)","cpu-and-memory-fundamentals|terminology"
"What is **IPC (Instructions Per Cycle)**?","Average instructions retired per clock cycle","cpu-and-memory-fundamentals|terminology"
"What is **Cache line**?","Smallest unit of cache transfer, typically 64 bytes on x86-64 and ARM","cpu-and-memory-fundamentals|terminology"
"What is **DRAM**?","Dynamic random-access memory; main memory, volatile, refresh required","cpu-and-memory-fundamentals|terminology"
"What is **Memory hierarchy**?","Tiered storage from registers → L1 → L2 → L3 → DRAM → storage","cpu-and-memory-fundamentals|terminology"
"What is **NUMA (Non-Uniform Memory Access)**?","Memory attached to specific sockets; local access faster than remote","cpu-and-memory-fundamentals|terminology"
"What is **TLB (Translation Lookaside Buffer)**?","Cache for virtual-to-physical address translations","cpu-and-memory-fundamentals|terminology"
"What is **Prefetcher**?","Hardware or software mechanism that loads data before it is explicitly requested","cpu-and-memory-fundamentals|terminology"
"Summarize the core idea of **CPU and Memory Fundamentals**.","Modern servers execute billions of instructions per second, yet every instruction ultimately reduces to fetch-decode-execute cycles over bytes stored in memory. Understanding how the central processing unit (CPU) interacts with memory — registers, caches, main memory (DRAM), and persistent storage — is foundational for reasoning about latency, throughput, and correctness in distributed systems.","cpu-and-memory-fundamentals|summary"
"What is **Sequential consistency**?","All threads see same total order of operations consistent with program order","memory-ordering-and-concurrency|terminology"
"What is **Happens-before**?","Partial order; if A hb B, B observes A's effects","memory-ordering-and-concurrency|terminology"
"What is **Release/acquire**?","Release makes prior writes visible; acquire sees those writes","memory-ordering-and-concurrency|terminology"
"What is **Memory barrier / fence**?","Instruction preventing certain reorderings","memory-ordering-and-concurrency|terminology"
"What is **Store buffer**?","Per-core queue of pending writes not yet globally visible","memory-ordering-and-concurrency|terminology"
"What is **LoadLoad, StoreStore, LoadStore, StoreLoad**?","Barrier types by ordering edges","memory-ordering-and-concurrency|terminology"
"What is **Data race**?","Concurrent access, at least one write, no synchronization","memory-ordering-and-concurrency|terminology"
"What is **Relaxed atomic**?","Atomicity without ordering guarantees","memory-ordering-and-concurrency|terminology"
"What is **Seq_cst**?","Sequential consistency memory order (strongest in C++)","memory-ordering-and-concurrency|terminology"
"What is **Synchronizes-with**?","Release-acquire pair establishing happens-before","memory-ordering-and-concurrency|terminology"
"Summarize the core idea of **Memory Ordering and Concurrency**.","Modern CPUs reorder memory operations to hide latency and exploit instruction-level parallelism. Compilers add further reorderings when optimizing. In a multi-threaded program, these reorderings are invisible on a single thread but can produce surprising results across threads unless you establish ordering through synchronization primitives, atomics with explicit memory orders, or locks.","memory-ordering-and-concurrency|summary"
"What is **Socket**?","Endpoint for network communication (fd)","kernel-networking-and-io-uring|terminology"
"What is **Non-blocking I/O**?","Returns immediately if operation would block","kernel-networking-and-io-uring|terminology"
"What is **epoll**?","Linux scalable readiness notification","kernel-networking-and-io-uring|terminology"
"What is **Edge-triggered vs level-triggered**?","epoll notification semantics","kernel-networking-and-io-uring|terminology"
"What is **io_uring**?","Shared ring buffers for async I/O submission/completion","kernel-networking-and-io-uring|terminology"
"What is **SQ / CQ**?","Submission queue / completion queue","kernel-networking-and-io-uring|terminology"
"What is **sendfile**?","Kernel transfers data fd-to-socket without user buffer","kernel-networking-and-io-uring|terminology"
"What is **SO_REUSEPORT**?","Multiple sockets bind same port; kernel load spreads","kernel-networking-and-io-uring|terminology"
"What is **Backlog**?","Queue of incomplete connections (`listen`)","kernel-networking-and-io-uring|terminology"
"What is **Kernel bypass**?","User-space driver (DPDK) skipping full stack","kernel-networking-and-io-uring|terminology"
"Summarize the core idea of **Kernel Networking and io_uring**.","Application networking on Linux traditionally flows through BSD sockets, kernel TCP/IP stack, and readiness notification mechanisms (`select`, `poll`, `epoll`). Each syscall and buffer copy adds overhead at high connection counts and throughput. **io_uring** (Linux 5.1+) provides a shared submission/completion queue interface reducing syscall overhead and enabling linked, batched, and registered-buffer I/O.","kernel-networking-and-io-uring|summary"
"What is **Process**?","Address space + resources (file descriptors, credentials)","processes-threads-and-scheduling|terminology"
"What is **Thread**?","Schedulable execution context within a process","processes-threads-and-scheduling|terminology"
"What is **Context switch**?","Save/restore CPU state when changing runnable entity","processes-threads-and-scheduling|terminology"
"What is **PID / TID**?","Process ID; Thread ID","processes-threads-and-scheduling|terminology"
"What is **Fork / exec**?","Create process; load new program image","processes-threads-and-scheduling|terminology"
"What is **Run queue**?","Threads ready to execute","processes-threads-and-scheduling|terminology"
"What is **Time slice / quantum**?","Scheduled interval before preemption","processes-threads-and-scheduling|terminology"
"What is **CFS**?","Linux default fair scheduler using virtual runtime","processes-threads-and-scheduling|terminology"
"What is **Nice / priority**?","User-visible priority bias","processes-threads-and-scheduling|terminology"
"What is **cgroup**?","Resource limit and accounting group","processes-threads-and-scheduling|terminology"
"What is **NUMA affinity**?","Scheduler and allocator aware of socket topology","processes-threads-and-scheduling|terminology"
